"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 08:26:23 GMT 2021","Wed Aug 04 08:27:34 GMT 2021","71812","testproject","datasave_test","","","","test_data_save",""
"passed","Wed Aug 04 08:27:41 GMT 2021","Wed Aug 04 08:27:52 GMT 2021","10236","testproject","logout_test","","","","test_logout",""
"passed","Wed Aug 04 08:25:10 GMT 2021","Wed Aug 04 08:26:16 GMT 2021","65792","testproject","datadelete_test","","","","test_data_delete",""
"passed","Wed Aug 04 08:23:17 GMT 2021","Wed Aug 04 08:24:28 GMT 2021","71249","testproject","data_from_file_test","","","","test_data_from_file",""
"passed","Wed Aug 04 08:28:14 GMT 2021","Wed Aug 04 08:28:24 GMT 2021","10136","testproject","registration_test","","","","test_registration",""
"passed","Wed Aug 04 08:28:24 GMT 2021","Wed Aug 04 08:28:30 GMT 2021","5699","testproject","statement_test","","","","test_statement",""
"passed","Wed Aug 04 08:24:39 GMT 2021","Wed Aug 04 08:25:10 GMT 2021","30750","testproject","datachange_test","","","","test_data_change",""
"passed","Wed Aug 04 08:27:52 GMT 2021","Wed Aug 04 08:28:14 GMT 2021","22502","testproject","pagination_test","","","","test_pagination",""
"passed","Wed Aug 04 08:26:16 GMT 2021","Wed Aug 04 08:26:23 GMT 2021","7086","testproject","datainput_test","","","","test_data_input",""
"passed","Wed Aug 04 08:27:34 GMT 2021","Wed Aug 04 08:27:41 GMT 2021","6982","testproject","login_test","","","","test_login",""
"passed","Wed Aug 04 08:24:28 GMT 2021","Wed Aug 04 08:24:39 GMT 2021","11036","testproject","data_list_test","","","","test_data_list",""
