"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 08:38:07 GMT 2021","Wed Aug 04 08:38:30 GMT 2021","22463","testproject","pagination_test","","","","test_pagination",""
"passed","Wed Aug 04 08:36:40 GMT 2021","Wed Aug 04 08:37:51 GMT 2021","71553","testproject","datasave_test","","","","test_data_save",""
"passed","Wed Aug 04 08:37:51 GMT 2021","Wed Aug 04 08:37:57 GMT 2021","5858","testproject","login_test","","","","test_login",""
"passed","Wed Aug 04 08:37:57 GMT 2021","Wed Aug 04 08:38:07 GMT 2021","10235","testproject","logout_test","","","","test_logout",""
"passed","Wed Aug 04 08:34:57 GMT 2021","Wed Aug 04 08:35:28 GMT 2021","30711","testproject","datachange_test","","","","test_data_change",""
"passed","Wed Aug 04 08:36:34 GMT 2021","Wed Aug 04 08:36:40 GMT 2021","5999","testproject","datainput_test","","","","test_data_input",""
"passed","Wed Aug 04 08:34:46 GMT 2021","Wed Aug 04 08:34:57 GMT 2021","10892","testproject","data_list_test","","","","test_data_list",""
"passed","Wed Aug 04 08:35:28 GMT 2021","Wed Aug 04 08:36:34 GMT 2021","65553","testproject","datadelete_test","","","","test_data_delete",""
"passed","Wed Aug 04 08:33:35 GMT 2021","Wed Aug 04 08:34:46 GMT 2021","71013","testproject","data_from_file_test","","","","test_data_from_file",""
"passed","Wed Aug 04 08:38:40 GMT 2021","Wed Aug 04 08:38:45 GMT 2021","5604","testproject","statement_test","","","","test_statement",""
"passed","Wed Aug 04 08:38:30 GMT 2021","Wed Aug 04 08:38:40 GMT 2021","9990","testproject","registration_test","","","","test_registration",""
