"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 29 16:32:43 GMT 2021","Thu Jul 29 16:32:50 GMT 2021","6926","testproject","datainput_test","","","","test_data_input",""
"passed","Thu Jul 29 16:32:50 GMT 2021","Thu Jul 29 16:33:49 GMT 2021","59217","testproject","datasave_test","","","","test_data_save",""
"failed","Thu Jul 29 16:34:06 GMT 2021","Thu Jul 29 16:34:14 GMT 2021","7856","testproject","pagination_test","","","","test_pagination",""
"passed","Thu Jul 29 16:33:56 GMT 2021","Thu Jul 29 16:34:06 GMT 2021","10061","testproject","logout_test","","","","test_logout",""
"passed","Thu Jul 29 16:33:49 GMT 2021","Thu Jul 29 16:33:56 GMT 2021","6844","testproject","login_test","","","","test_login",""
"passed","Thu Jul 29 16:32:08 GMT 2021","Thu Jul 29 16:32:43 GMT 2021","35012","testproject","datadelete_test","","","","test_data_delete",""
"passed","Thu Jul 29 16:32:08 GMT 2021","Thu Jul 29 16:32:08 GMT 2021","0","testproject","datachange_test","","","","test_data_change",""
"broken","Thu Jul 29 16:32:08 GMT 2021","Thu Jul 29 16:32:08 GMT 2021","0","testproject","datachange_test","","","","test_datachange",""
"passed","Thu Jul 29 16:31:48 GMT 2021","Thu Jul 29 16:32:08 GMT 2021","19222","testproject","data_list_test","","","","test_data_list",""
"passed","Thu Jul 29 16:34:14 GMT 2021","Thu Jul 29 16:34:24 GMT 2021","9960","testproject","registration_test","","","","test_registration",""
"passed","Thu Jul 29 16:34:24 GMT 2021","Thu Jul 29 16:34:28 GMT 2021","4566","testproject","statement_test","","","","test_statement",""
